created at,author,title,description,rating,replied,response,responseTime
2023/09/28 20:11,Thabisile M,No Refund and no Airtime,I bought MTN airtime from the Capitec banking app on the 21 September 2023. I have been told to wait 48Hours .,1,1,"Good day Thabisile Thank you for letting us know of your concern, and for your patience while we explore this matter. We have assigned your query to a designated official who will contact you within the next business day.",2023-09-28 20:21:47
2023/09/28 16:45,Zareth G,BLOCK Account,"I AM SO SICK AND TIRED OF CAPITEC BANK.
MY ACCOUNT IS STILL BLOCK.
I DONE MY AFFIVITAVITS.
I TOLD THEM TELEPHONIC A FEW TIMES WHAT HAPPENS THE LAST TWO MONTHS.
CAPITEC BANK ALSO SEND ME A SMS ASKING ME WHY IS THE FUNERAL POLICY OF CAPITEC BANK IS NOT GOING THROUGH. WOW WOW
IT IS NOW THREE WEEKS.
MY LITTLE FUNDS I HAVE THEY REFUSE TO GIVE TO ME
I REALLY HONESTLY TIRED.
PLEASE UNBLOCK MY ACCOUNT",1,1,"Good day ZarethThank you for letting us know of your concern, and for your patience while we explore this matter. We have assigned your query to a designated official who will contact you within the next business day.",2023-09-28 16:54:25
2023/09/28 16:12,charlie,Voucher cannot be redeemed,"I've sent myself a cashsend but when I tried to withdraw the money,it says voucher cannot be redeemed,I tried 4 different ATMs and a Shoprite and Pep and still get same response. I call them they tell me to keep trying,I tell the agent I already did for 2 days,she says there's nothing she can do,I tell they must rather return the money back to my account,she says that will take 30 days,why am I supposed to wait 30 days for their fault 😡😡",1,1,"Good day Charlie Thank you for letting us know of your concern, and for your patience while we explore this matter. We have assigned your query to a designated official who will contact you within the next business day.",2023-09-28 16:13:34
2023/09/28 12:59,Tania N,Useless,"I wish there was a star lower than this, but unfortunately not 🙄
WORST service ever from Capitec bank. Cannot even get statements from them, let alone a copy of the contract that is promised to be sent to you when taking out a loan with them.
Now being handed over to lawyers because I stopped the debit order due to the fact that when I went to the Liberty Midlands Mall branch to get a settlement amount, nobody could find my details on the system 😐 even after the lady at the bank tried to assist, making I can't even recall how many phone calls with no luck. 
Don't get any responses via email and when I phone, I am being transferred from the one person to the next and still can't be assisted.
Honestly, has anyone else had an issue like this with Capitec Bank??",1,1,"The business has replied privately, and only Tania N can view this message.",2023-09-28 14:37:25
2023/09/28 12:33,Mthokozisi M,My account it's blocked,I woke up in the morning only to find my main and my savings plan disappeared i don't know why it's blocked.,1,1,"The business has replied privately, and only Mthokozisi M can view this message.",2023-09-28 14:36:17
2023/09/28 12:14,Muniba D,CAPITEC BANK LOSSES MY MONEY,"My bank account was hacked in April 2023. i lodged a ***** complaint and for 7 months contacted them. I was in branch several times and was told there is a backlog. In June I received an sms saying that the case was closed due to outstanding documents. I emailed the documents to them and in August I found out that the documents weren't clear although the branch consultant said it was clear. she resent it to them. Prior to this I got messages that they tried calling. when I called back non of the consultants could assist me or give me an answer. I kept contacting via email and the whatsapp channel only to be told yesterday the case was closed. I called and said the feedback was the claim was unsuccessful as I logged the case two days later which is utter bull****. R30,000.00 MISSING AND JUST LIKE THAT I HAVE TO ACCEPT. 7 MONTHS OF BACK AND FOURTH BEGGING FOR A RESPONSE",1,1,"The business has replied privately, and only Muniba D can view this message.",2023-09-28 14:35:31
2023/09/28 12:09,Stuart S,Lost money,"Capitac blocked my savings account it had R1000 and few Rands I can't remember well,I contacted them about the matter and it was fixed but my savings account came back with R200 I need my R800.",1,1,"The business has replied privately, and only Stuart S can view this message.",2023-09-28 14:34:50
2023/09/28 11:23,Kamogelo M,Unblock my account,My account is still stopped i been a month now no response from the bank ...,1,1,"The business has replied privately, and only Kamogelo M can view this message.",2023-09-28 11:36:22
2023/09/28 10:12,Noluthando H,***** with Capitec Bank,"My mother got ****med,her money was transferred to other accounts from her savings account, the ***** case was opened, until today no progress. She went to follow up with both police and the bank (Capitec Bank) nothing is happening, she used to go and enquire with Estcourt branch since she resides around,but the manager will hide until she left the bank. It been two years. With police as well they usually say it's still under investigation, but there are statement confirming those transferred and that she didn't authorised those transactions.",1,1,"The business has replied privately, and only Noluthando H can view this message.",2023-09-28 11:35:45
2023/09/28 08:17,Saabirah M,Bad,Can someone from the fore department please call me ASAP? I've been waiting in a queue forever!,1,1,"The business has replied privately, and only Saabirah M can view this message.",2023-09-28 11:34:31
2023/09/28 07:26,Banele J,****mers they will allow people to take your money and would say it is out of their power,"You know when they say leave capitec while you still can it is true hey!!!! They have been taking bolt money this morning from my account since early hours of today.

I do not know how they got my number as much as I do request with my card but I am not the one who authorised or tried to request which begs the question of is our money ever safe with you guys? Because I don't think or see so.... Your app is forever being upgraded or under maintenance and can I have the bolt money back to my account that was debit today ASAP and dont tell me to block my card if you ain't going to credit me the R70 for the card to furthermore I would like to be assisted by white based on my customer experience with black /colored agents from capitec is never pleasing rather give me a better experience.",1,1,"The business has replied privately, and only Banele J can view this message.",2023-09-28 11:33:44
2023/09/27 21:32,Boitumelo M,"Long quess ,mobile a...","Long quess ,mobile app is always offline",1,1,"Good day BoitumeloThank you for letting us know of your concern, and for your patience while we explore this matter. We have assigned your query to a designated official who will contact you within the next business day.",2023-09-27 21:41:48
2023/09/27 20:37,Jacques B,I have tried to load...,"I have tried to load airtime sins this after noon, and it keeps sending back too my account except this last time it took my airtime money qnd still no airtime nor refund this is a useless bank I always have problems with capitec bank",1,1,"Good da Jacques Thank you for letting us know of your concern, and for your patience while we explore this matter. We have assigned your query to a designated official who will contact you within the next business day.",2023-09-27 20:38:54
2023/09/27 17:08,Vhonani M,B,My accounts are blocked and I sent the documents a week a go but no feedback  capitec  service is bad,1,1,"Good day VhonaniThank you for letting us know of your concern, and for your patience while we explore this matter. We have assigned your query to a designated official who will contact you within the next business day.",2023-09-27 17:10:05
2023/09/27 16:22,Precious N,****py service,I'm so disappointed with the service that I got at capitec Bank so on the 26 of August 2023 a transaction of R600 went off on my account I called in the call centre and I spoke to one of the consultants and she told me that she would stop my card and log a query for me on the 29th of August I got an SMS from capitec stating that my money would be back in my account within 14 days but I was only refunded R3 and when I inquired further I was told that because it was an international transaction the money would be in my account within 21 days but to this very day my money has not been sent back or refunded so I called in to capitec again and I was appalled by the service I got the consultant I spoke to was extremely rude and he told me that the money he told me that the money might not be refunded he told me about a lot of costs one being card renewal another being an excess fee but when we both calculated all that money mentioned above totals R73 when I told him about that he told me that it is not his job to tell me weather I will get my money or not or how it will be used when it eventually gets in my account he failed to answer most of my questions so he transferred me to a ***** department and at that department I was told that they cannot help me unless if I am logging a new ***** they do not do follow-ups on old ***** so even now I don't have the answers as to when I will get my money or if I will get my money capitec bank has really outdone themselves today because not only did I receive ****py service but at the end of my 30 minute call I still don't have answers as to whether I will ever be refunded.,1,1,"Good day PreciousThank you for letting us know of your concern, and for your patience while we explore this matter. We have assigned your query to a designated official who will contact you within the next business day.",2023-09-27 16:26:06
2023/09/27 15:28,Brigitte T,Capitec BANK one step closer to controlling your spending like it's their money,"I have an ongoing problem with Capitec Bank since the beginning of 2023 after being a very happy client for more than 10 years.

If I need to make payments to service providers in excess of R3500 the app requires a selfie to be taken before the payment can be processed. Needless to say it DOES NOT WORK. The staff at my local branch are unable to help me. ""Ma'am it's best if you rather visit our branch to make these payments"" This is the only answer I get. Every time. HOW is this possible? What is the point of having a banking app if you need to visit a physical branch to make a payment? Are we moving back to the Stone Age of banking or is there a more sinister OP?
The AI on Facebook is unable to help, the Question doesn't fit into any of it's categories. The contact numbers on the Capitec Bank web page gives a ""This number does not exist"" message. What do I do? Withdraw all my money and keep it under the couch? I have never been more frustrated. What has changed at Capitec Bank? Flawless service and literally overnight complete collapse.",1,1,"Good day Brigitte Thank you for letting us know of your concern, and for your patience while we explore this matter. We have assigned your query to a designated official who will contact you within the next business day.",2023-09-27 16:18:07
2023/09/27 14:02,Abdul P,CAPITEC MESS UP AND DOES NOT WANT TO FIX THEIR MESS - LEFT WITHOUT SERVICE YET MONEY TAKEN,"WHAT PATHETIC SERVICE!!!!!!!!!!!!!!

Capitec was down yesterday (26.09.2023) and yet no communication was sent out to their customers. I am one of their customers and am having an appalling experience trying to fix the mess they caused, but nobody wants to help and take accountability. 

We are left with money that ran off our account and showing uncleared on our bank statement, yet the funds are out of our account. The service provider - MWEB/Vumatel is saying ""Sorry, we did not get the payment"". 

This, after holding for over 30 minutes on the line to MWEB, the agent Majdie advised to speak to their accounts department, but he cannot see the payment and can retry to do it again. REALLY???!!! And have more money deducted from our account? No thanks

I then call Capitec, and the agent Miekaeel said that the funds were deducted and he can see it is unprocessed, but we must call MWEB to give 'authorisation' to release or reverse the funds. Then waited for another almost 20 minutes to speak to Val at Mweb accounts. ""Nope, she does not see the payment and cannot help"". I must call Capitec as the problem and outage was on their side. Otherwise, I must call Payfast who does the payment for Vumatel/MWEB. 

WHAT THE ****** HELL MAN!!!!!! I AM A CAPITEC CUSTOMER!!!! I AM AN MWEB CUSTOMER!!!! THIS IS DUE TO A FLIPPEN ERROR BY CAPITEC (WHO BTW HAD AN OUTAGE) OR MWEB. I don't know, but now I am being disadvantaged and inconvenienced due to no fault or error on my part. 

THEY BEAUTY OF IT ALL IS THAT MY ****** FIBRE CONNECTION IS NOW SUSPENDED AND OFFLINE AND NOBODY WANTS TO HELP AND TAKE OWNERSHIP OR ACCOUNTABILITY....!!!!!!!!

I am not a payfast customer, but then called PayFast as per instruction from Val at MWEB. I the customer must spend hours holding on the line to everyone, waste my time and money making calls (and time is money), Just for Payfast to tell me ""No, MWEB is the Merchant"" Capitec paid them, they must give instruction and authorisation for the reversal of the funds. 

Benassi at Payfast put me on a long hold and said to call MWEB again when he returned onto the call. He said the bank released the funds. Just to find out that it is not the case and he probably just said that to get rid of me on the phone. All these calls are recorded. I have names and numbers I called. 

CAN SOMEONE JUST ****IN SORT THIS OUT???????????!!!!!!!!!!!!!!!!!!!!!!!

Back to MWEB and Val",1,1,"The business has replied privately, and only Abdul P can view this message.",2023-09-27 14:46:40
2023/09/27 12:51,Frans,NOT RESOLVED,Just received an email the access facility matter has been resolved the ombudsman was contacted as the matter is not REF **********05,1,1,"The business has replied privately, and only Frans can view this message.",2023-09-27 12:55:31
2023/09/27 12:04,Lungelo S,Worst service,"Disappointment would be an understament honestly, for some odd reason i stopped receiving SMS's of all my transactions . I went to a branch and I was assisted. A few days later the SMS issue started again and now it was accompanied by my cell phone banking not working. went to a branch again and I was assured that the issue is completely is resolved. here I am now and I am not receiving any SMS's and your call center tells me to check with my network provider. How??? This can't be because I am getting other notifications from other banks, How am I being charged for SMS's and not receiving them. This has really become daunting and frustrating",1,1,"The business has replied privately, and only Lungelo S can view this message.",2023-09-27 12:12:50
2023/09/27 11:15,kgomotso,Capitec bank is a ****,Capitec bank keeps calling me without anyone talking. They have sent an email and I told them the same thing,1,1,"The business has replied privately, and only kgomotso can view this message.",2023-09-27 12:12:14
2023/09/27 07:49,Oamemang M,Bad system and in consistence sponsorship,Me as a customer needs a clarity regarding Capitec sponsorship of political parties allegations on Sunday newspaper if is correct what is alleged how come sponsor one paty only not the others  second problem is your system which is not religible most accounts show zero ballance please correct this quickly and keep on updating customers on time your communication team is slow,1,1,"The business has replied privately, and only Oamemang M can view this message.",2023-09-27 08:50:12
2023/09/27 07:01,Tshidi,No activity on account,"The service at this bank is really disappointing how can sn app have so many glitches and also there is no safety features, I even called them suspecting ***** on my account but they found nothing wrong with my account. I'm really considering cancelling this bank real waste of time",1,1,"The business has replied privately, and only Tshidi can view this message.",2023-09-27 08:44:46
2023/09/26 20:11,Mpendulo M,Reckless lending by Capitec Bank,Reckless lending by Capitec Bank has led me to pay more than a 3 quarters of my salary and some loans that were like revolving credits are only taking money and not revolving. I have different loans consuming my salary from Capitec and i suspect reckless lending from Capitec and needs an urgent review of the affordability of all my loans with Capitec,1,1,"Good day MpenduloThank you for letting us know of your concern, and for your patience while we explore this matter. We have assigned your query to a designated official who will contact you within the next business day.",2023-09-26 20:25:02
2023/09/26 18:35,Alfred S,Capitec Froze my account for no reason,"my account was frozen just after the transaction that happened on the 27/07/2023 of R1000 that was transferred to my account by a client for accommodation at my guest house, the bank asked to send affidavits and id copy of the person who sent me the money and i did so but until today my account still not working despite all the attempts going back to the bank to remove the hold they telling that the person who reported this matter must come forward to say the money was sent was not *****ulant and they dont want to tell who the person is so i can approach him/her myself so he resolve this matter and funny/frustrating part about this matter is that the sender his account is not frozen even the person he got the money from is only my account that has a hold. How fair is that im running a business and rely on this account to receive funds from my guest as most people now are using Capitec but with what is happening im not Happy with this BANK",1,1,"Good day Alfred Thank you for letting us know of your concern, and for your patience while we explore this matter. We have assigned your query to a designated official who will contact you within the next business day.",2023-09-26 18:39:53
2023/09/26 18:24,Gideon E,"Inconstent, very inconsistent and uninterested in helping clients","So, Im not going to have food for the next couple of days... and will incur alot of penalties from debit orders bouncing... WHY you ask... I am a freelancer and get my monthly income paid from overseas... and this has been happening for the last 5 months... no issues. A WISE payment is made and in less than 24 hours the money is in my account... NO WORRIES.... EXCEPT this month... this month Capitec decides to withhold my payment as the beneficiary name  suddenly does not correspond with the name on the account.... EISH My ID says my name is Gideon... The payment says its DEON... so F&%$k me... we cannot release the money and the explanation I gave and question I asked regarding ""WHY NOW"" is ignored and I now have to ask my client to cancel the payment and redo... which means that I will only get paid sometime NEXT WEEK!!!!! Thank you Capitec for the AMAzing service... thank YOU very much... please dont contact me regarding this as this seems to be par for the ""inconsistent"" course.... please do things to help your clients....NOT break your client.",1,1,"Good day GideonThank you for letting us know of your concern, and for your patience while we explore this matter. We have assigned your query to a designated official who will contact you within the next business day.",2023-09-26 18:30:23
2023/09/26 17:37,Tokkie Mare',Sort your services out,"A big disappointment. Opened an account to try out before closing my FNB account.
This is what I experienced:
If you are over 65 you cannot partake in any there financing or insurance.
The total cost of having a savings account is higher than that of FNB.
For the past two days I have been unable to transfer money from the account. The same applies for purchasing airtime.
Your transaction cannot be done now, try later. And two days later it still doesn't work.",3,1,"Good day TokkieThank you for letting us know of your concern, and for your patience while we explore this matter. We have assigned your query to a designated official who will contact you within the next business day.",2023-09-26 17:39:59
2023/09/26 14:22,Keamogetswe M,Account blocked,"My account has been blocked from capitec due to I was playing stokvel,I went to open a case but I didn’t get any help since last year October",1,1,"Good day Keamogetswe Thank you for letting us know of your concern, and for your patience while we explore this matter. We have assigned your query to a designated official who will contact you within the next business day.",2023-09-26 16:10:18
2023/09/26 13:57,renatta D,Never been so embarrassed by capitec,I am so so upset and highly embarrassed by Capitec never in my whole life will I recommend this bank. So I went to a store on Friday I must mention that it was so so busy and people were queuing to pay . I was with my grandson there. So long story short I paid for my stuff with my card and it declined 3 times but on the app it went off my account. I was so so embarrassed and did not know what to say or where to hide my face it was a disgrace my grandson's keep on asking gran what is wrong what is wrong. How do you explain a *********** bank failed you I don't know how to show my face again at the store it was beyond embarrassing no apology or nothing what n disgrace,1,1,"Good day Renatta Thank you for letting us know of your concern, and for your patience while we explore this matter. We have assigned your query to a designated official who will contact you within the next business day.",2023-09-26 16:09:48
2023/09/26 13:18,Thapelo B,Dissapointing,"In all honesty, Caputec's banking services have proven to be subpar. It's highly likely that if you're a customer with them, you've experienced disruptions in their mobile banking system on a monthly basis, particularly on critical paydays like the 25th or the last day of the month. It appears that the bank may be struggling to accommodate the large number of clients they've attracted with their seemingly affordable offerings. This recurring issue is increasingly inconvenient, and I'm contemplating launching a campaign to encourage middle-class earners to consider alternatives to this bank due to these ongoing disruptions.",1,1,"Good day Thapelo Thank you for letting us know of your concern, and for your patience while we explore this matter. We have assigned your query to a designated official who will contact you within the next business day.",2023-09-26 16:09:11
2023/09/26 12:54,Happiness,Capitec Bank,I'm soo disappointed with Capitec bank.  Last week Friday morning on the 22nd of Sep 2023 I bought MTN data and airtime using my Capitec App but till today i didn't received my airtime and data when I contact capitec they keep telling me that it MTN problem but when I'm contacting MTN they told me that their don't have recharging issues and I believe MTN because I used different bank to recharge but I didn't have recharging problem. I'm just wondering how many people they having the same problem as mine. Capitec must pay back my money.,1,1,"Good day Happiness Thank you for letting us know of your concern, and for your patience while we explore this matter. We have assigned your query to a designated official who will contact you within the next business day.",2023-09-26 16:08:27
2023/09/26 12:47,Ncamsile J,Blocked account,"My account is still BLOCK.
I done everything the bank ask me to do.
It is two weeks now.
I am really sick and tired of this.
Then to put cherry on the cake CAPITEC BANK call me and asked me why is my funeral policy I have with them payments is decline. Wow because you CAPITEC BANK block my account ********** i have send a new affidavit",2,1,"Good day Ncamsile Thank you for letting us know of your concern, and for your patience while we explore this matter. We have assigned your query to a designated official who will contact you within the next business day.",2023-09-26 16:07:58
2023/09/26 12:05,Mabutho M,The Capitec bank App is not working,"The Capitec bank app is not working since this morning. This adversely affected my day. It's monthend I need to manage my bills. It's not the first time this has happened.

I'm now considering moving to another bank!
i'm tired of this nonsense",1,1,"The business has replied privately, and only Mabutho M can view this message.",2023-09-26 12:23:36
